task,method,metric,mean,std,median,ci_low,ci_high
iid,cv_no_temporal,cross_2_3,-0.015257926310522895,4.199281521100422e-08,-0.015257939823327571,-0.015257939800860924,-0.015257899668518487
iid,cv_no_temporal,cross_2_4,-0.007484138731500933,6.97979964376674e-06,-0.007486863671856692,-0.007486863724397928,-0.00747972548959408
iid,cv_no_temporal,cross_3_4,-0.02341599910320613,0.006340740646404872,-0.025849548443120374,-0.02581832013741905,-0.019292465538265597
iid,cv_no_temporal,parity,-0.0068400706959901745,0.004077194812495145,-0.0054451081027873105,-0.009460282132098421,-0.005424034807521617
iid,cv_no_temporal,narma10,0.2550773204665484,5.40234457620391e-05,0.2551061160858702,0.2550425479447229,0.25510733861737084
iid,cv_noise_0.0,linear_capacity,1.200093641750883,0.22649530779814173,1.2404166989784313,1.046948282323259,1.2954811141944693
iid,cv_noise_0.0,nonlinear_capacity,0.13802619671579047,0.07164498583504167,0.1374872360114272,0.09764222061298068,0.1794558069434581
iid,cv_noise_0.0,seconds,0.4679043799987994,0.12417430956917438,0.4609794000061811,0.39474874349602035,0.538315044754454
iid,cv_noise_0.0,effective_rank,2.7385072417104643,0.35568722790715834,2.7982611503054238,2.531298523318518,2.950006928521939
iid,cv_noise_0.0,linear_1,0.5168859342630487,0.14029394154801705,0.5556721838641243,0.42388064417737764,0.5704153222356336
iid,cv_noise_0.0,quadratic_1,-0.06249145319475813,0.033029771424922284,-0.055628948245361465,-0.08244223974254677,-0.043099686206449404
iid,cv_noise_0.0,linear_2,0.27225051235548337,0.020001421404380607,0.2783555851916265,0.25886266290893245,0.2813289079401304
iid,cv_noise_0.0,quadratic_2,-0.08413719585789255,0.0386163777428891,-0.0913382385161422,-0.10656849265903542,-0.06153422903193657
iid,cv_noise_0.0,linear_3,0.28293379601396407,0.034745287624838896,0.29436412350013136,0.2596720973123647,0.2975589080066166
iid,cv_noise_0.0,quadratic_3,-0.04834346313623369,0.042662910444537155,-0.05687301644719944,-0.07140936640500672,-0.02414447076559881
iid,cv_noise_0.0,linear_4,0.128023399118387,0.04731758570564044,0.12450067650057234,0.09943564195370078,0.1543983009418445
iid,cv_noise_0.0,quadratic_4,-0.007998625671169213,0.048117498861012166,0.001145404531837313,-0.03699552893918458,0.018616903270223122
iid,cv_noise_0.0,cross_1_2,-0.05611785297242065,0.08408983017217872,-0.045735239698581065,-0.10585083000267591,-0.00864472535837726
iid,cv_noise_0.0,cross_1_3,-0.011712054515700964,0.05453296168478226,-0.00231260384086851,-0.04340242001537379,0.01962163936151555
iid,cv_noise_0.0,cross_1_4,-0.3798324557478271,0.10953599789025913,-0.4056127636039196,-0.44065423634410955,-0.31643395948818726
iid,cv_noise_0.0,cross_2_3,0.09003379679212163,0.03830814494559059,0.09118999403997474,0.06690404000933257,0.11041828583186934
iid,cv_noise_0.0,cross_2_4,-0.060849134157951054,0.06968219341930701,-0.06644309045140528,-0.101424536834742,-0.020903240404529344
iid,cv_noise_0.0,cross_3_4,-0.13756847568104796,0.09538612613206145,-0.14200088750057882,-0.19555863455560268,-0.08346282677930023
iid,cv_noise_0.0,parity,-0.005604129861615725,0.015657970101553134,-0.007914933872963048,-0.013857063197429244,0.004230896339808285
iid,cv_noise_0.0,narma10,0.4477254709712467,0.05471945024243627,0.442732260595141,0.41819685703806564,0.4828629026579456
iid,cv_noise_0.1,linear_capacity,1.2001786334312676,0.2264354649241601,1.2404963777965234,1.0470722105347599,1.2955708625696198
iid,cv_noise_0.1,nonlinear_capacity,0.1381247767983269,0.07162606570493348,0.137474464975597,0.09774150599107849,0.179468644083339
iid,cv_noise_0.1,seconds,0.5126721799970255,0.08115605025470889,0.5317537500013714,0.46101935324593796,0.5571917407481306
iid,cv_noise_0.1,effective_rank,2.738514486352151,0.3556993887823586,2.7982629585638605,2.531299290790316,2.950026392759731
iid,cv_noise_0.1,linear_1,0.5169009504836428,0.14027534437905684,0.5556763065074442,0.423911600435744,0.570419128102943
iid,cv_noise_0.1,quadratic_1,-0.0623880489872906,0.03297552645355099,-0.05562978337168789,-0.08230698580977401,-0.04302768319300231
iid,cv_noise_0.1,linear_2,0.2722718147316736,0.019980051035167482,0.2783549285376213,0.2588975707247331,0.28133910947087765
iid,cv_noise_0.1,quadratic_2,-0.08409775079538655,0.03863394045881401,-0.09117855796840824,-0.10654448381711863,-0.061486235229118884
iid,cv_noise_0.1,linear_3,0.2829712062216248,0.03473165788733445,0.2944134342456306,0.2597203616125776,0.2975903964538803
iid,cv_noise_0.1,quadratic_3,-0.04833247158363624,0.04267997683980393,-0.056883733185236984,-0.07140005955284591,-0.02410330880611508
iid,cv_noise_0.1,linear_4,0.12803466199432634,0.04730376778865944,0.12450058756759291,0.09945549518342278,0.1543744111848429
iid,cv_noise_0.1,quadratic_4,-0.00804556748484252,0.04820226171653419,0.0011667546668795992,-0.03708833818619046,0.01859453619902454
iid,cv_noise_0.1,cross_1_2,-0.0559725580035486,0.08400435911765963,-0.04571232048065055,-0.10558428994628491,-0.00850832936256004
iid,cv_noise_0.1,cross_1_3,-0.011581873740476378,0.0544375974671159,-0.002312172061747164,-0.043201065423541136,0.01969825180662559
iid,cv_noise_0.1,cross_1_4,-0.3798062196978468,0.10954583332092137,-0.40558324697534454,-0.4406310225053935,-0.31640626875320743
iid,cv_noise_0.1,cross_2_3,0.09005435229143623,0.038267358372334505,0.09113713194436363,0.06694727639587233,0.11039504387138797
iid,cv_noise_0.1,cross_2_4,-0.06082610779359656,0.06965124803579509,-0.0664657985873156,-0.10137780486628359,-0.02086328371418854
iid,cv_noise_0.1,cross_3_4,-0.13747655356888597,0.09530905806803731,-0.1418662086502025,-0.19536803009094186,-0.08348297586077988
iid,cv_noise_0.1,parity,-0.005587652946462141,0.015642619012809843,-0.007880587094045266,-0.013840248733062822,0.004234024947312014
iid,cv_noise_0.1,narma10,0.4477151736474315,0.0547066919228142,0.4427690823742417,0.41817194832894683,0.48283026753374686
iid,cv_window,linear_capacity,3.000568243746684,0.0010629682919880963,3.000109979892634,3.0000697977089863,3.0012673195830706
iid,cv_window,nonlinear_capacity,2.2604777806548775,0.03676064565961832,2.2669529662946393,2.23700845300061,2.2806859962917816
iid,cv_window,seconds,2.138026670002728,0.49709889257212564,2.293541049999476,1.8151332294996974,2.405295454004299
